text
"[{'label': 'NEGATIVE', 'score': 0.9783133864402771}]"
"[{'label': 'POSITIVE', 'score': 0.9991826415061951}]"
"[{'label': 'NEGATIVE', 'score': 0.9696903824806213}]"
"[{'label': 'NEGATIVE', 'score': 0.9919633865356445}]"
"[{'label': 'NEGATIVE', 'score': 0.9975878000259399}]"
"[{'label': 'POSITIVE', 'score': 0.9841381907463074}]"
"[{'label': 'POSITIVE', 'score': 0.9983637928962708}]"
"[{'label': 'POSITIVE', 'score': 0.9922720193862915}]"
"[{'label': 'POSITIVE', 'score': 0.9998494386672974}]"
"[{'label': 'NEGATIVE', 'score': 0.9958051443099976}]"
"[{'label': 'POSITIVE', 'score': 0.9997939467430115}]"
"[{'label': 'NEGATIVE', 'score': 0.6994820237159729}]"
"[{'label': 'POSITIVE', 'score': 0.9901396632194519}]"
"[{'label': 'POSITIVE', 'score': 0.990085244178772}]"
"[{'label': 'POSITIVE', 'score': 0.996875524520874}]"
"[{'label': 'POSITIVE', 'score': 0.9991563558578491}]"
"[{'label': 'POSITIVE', 'score': 0.9965268969535828}]"
"[{'label': 'NEGATIVE', 'score': 0.9992061257362366}]"
"[{'label': 'POSITIVE', 'score': 0.9996803998947144}]"
"[{'label': 'POSITIVE', 'score': 0.9998708963394165}]"
"[{'label': 'POSITIVE', 'score': 0.9997053742408752}]"
"[{'label': 'NEGATIVE', 'score': 0.9994266033172607}]"
"[{'label': 'POSITIVE', 'score': 0.9850248098373413}]"
"[{'label': 'NEGATIVE', 'score': 0.5624118447303772}]"
"[{'label': 'POSITIVE', 'score': 0.9858260750770569}]"
"[{'label': 'POSITIVE', 'score': 0.9947444200515747}]"
"[{'label': 'POSITIVE', 'score': 0.9680452942848206}]"
"[{'label': 'NEGATIVE', 'score': 0.9691716432571411}]"
"[{'label': 'POSITIVE', 'score': 0.9995949864387512}]"
"[{'label': 'POSITIVE', 'score': 0.9986442923545837}]"
"[{'label': 'POSITIVE', 'score': 0.9998250603675842}]"
"[{'label': 'POSITIVE', 'score': 0.9990610480308533}]"
"[{'label': 'POSITIVE', 'score': 0.9998595714569092}]"
"[{'label': 'POSITIVE', 'score': 0.9996397495269775}]"
"[{'label': 'POSITIVE', 'score': 0.8578841090202332}]"
"[{'label': 'POSITIVE', 'score': 0.9392751455307007}]"
"[{'label': 'NEGATIVE', 'score': 0.9989290833473206}]"
"[{'label': 'POSITIVE', 'score': 0.9998853206634521}]"
"[{'label': 'POSITIVE', 'score': 0.9996805191040039}]"
"[{'label': 'POSITIVE', 'score': 0.9987157583236694}]"
"[{'label': 'POSITIVE', 'score': 0.9998635053634644}]"
"[{'label': 'NEGATIVE', 'score': 0.9943300485610962}]"
"[{'label': 'POSITIVE', 'score': 0.9998334646224976}]"
"[{'label': 'POSITIVE', 'score': 0.9969347715377808}]"
"[{'label': 'NEGATIVE', 'score': 0.9972023963928223}]"
"[{'label': 'POSITIVE', 'score': 0.9994434714317322}]"
"[{'label': 'POSITIVE', 'score': 0.9995421171188354}]"
"[{'label': 'NEGATIVE', 'score': 0.6553213000297546}]"
"[{'label': 'POSITIVE', 'score': 0.8849694728851318}]"
"[{'label': 'POSITIVE', 'score': 0.9839249849319458}]"
"[{'label': 'POSITIVE', 'score': 0.9997439980506897}]"
