text
"[{'label': 'neutral', 'score': 0.9996471405029297}]"
"[{'label': 'neutral', 'score': 0.9691935777664185}]"
"[{'label': 'positive', 'score': 0.9924883842468262}]"
"[{'label': 'neutral', 'score': 0.99964439868927}]"
"[{'label': 'neutral', 'score': 0.9998205304145813}]"
"[{'label': 'neutral', 'score': 0.9997355341911316}]"
"[{'label': 'positive', 'score': 0.9765698313713074}]"
"[{'label': 'neutral', 'score': 0.9993951320648193}]"
"[{'label': 'neutral', 'score': 0.9881916642189026}]"
"[{'label': 'positive', 'score': 0.999494194984436}]"
"[{'label': 'neutral', 'score': 0.7331562042236328}]"
"[{'label': 'neutral', 'score': 0.9986613988876343}]"
"[{'label': 'positive', 'score': 0.9990689158439636}]"
"[{'label': 'positive', 'score': 0.9786989688873291}]"
"[{'label': 'positive', 'score': 0.7918899059295654}]"
"[{'label': 'positive', 'score': 0.9984560012817383}]"
"[{'label': 'positive', 'score': 0.8211085796356201}]"
"[{'label': 'neutral', 'score': 0.999631404876709}]"
"[{'label': 'positive', 'score': 0.984831690788269}]"
"[{'label': 'neutral', 'score': 0.7485325336456299}]"
"[{'label': 'positive', 'score': 0.9391023516654968}]"
"[{'label': 'neutral', 'score': 0.7400645613670349}]"
"[{'label': 'neutral', 'score': 0.9993767142295837}]"
"[{'label': 'neutral', 'score': 0.999302864074707}]"
"[{'label': 'neutral', 'score': 0.9994572997093201}]"
"[{'label': 'neutral', 'score': 0.9981980919837952}]"
"[{'label': 'positive', 'score': 0.5198981761932373}]"
"[{'label': 'positive', 'score': 0.9909769296646118}]"
"[{'label': 'neutral', 'score': 0.9892047047615051}]"
"[{'label': 'neutral', 'score': 0.9550961852073669}]"
"[{'label': 'positive', 'score': 0.9599588513374329}]"
"[{'label': 'neutral', 'score': 0.999123752117157}]"
"[{'label': 'positive', 'score': 0.997768759727478}]"
"[{'label': 'positive', 'score': 0.9259471297264099}]"
"[{'label': 'neutral', 'score': 0.9996676445007324}]"
"[{'label': 'neutral', 'score': 0.9992623925209045}]"
"[{'label': 'neutral', 'score': 0.9998313188552856}]"
"[{'label': 'positive', 'score': 0.6258773803710938}]"
"[{'label': 'positive', 'score': 0.9973055124282837}]"
"[{'label': 'positive', 'score': 0.5086865425109863}]"
"[{'label': 'neutral', 'score': 0.9996635913848877}]"
"[{'label': 'positive', 'score': 0.6506984829902649}]"
"[{'label': 'positive', 'score': 0.986464262008667}]"
"[{'label': 'neutral', 'score': 0.9966961145401001}]"
"[{'label': 'neutral', 'score': 0.8257894515991211}]"
"[{'label': 'positive', 'score': 0.997393012046814}]"
"[{'label': 'neutral', 'score': 0.999881386756897}]"
"[{'label': 'neutral', 'score': 0.9134034514427185}]"
"[{'label': 'positive', 'score': 0.9994309544563293}]"
"[{'label': 'positive', 'score': 0.8929378390312195}]"
"[{'label': 'neutral', 'score': 0.6343348026275635}]"
"[{'label': 'neutral', 'score': 0.8898144364356995}]"
"[{'label': 'positive', 'score': 0.9919415712356567}]"
"[{'label': 'neutral', 'score': 0.8576500415802002}]"
"[{'label': 'negative', 'score': 0.7638489007949829}]"
"[{'label': 'neutral', 'score': 0.9765233397483826}]"
"[{'label': 'positive', 'score': 0.9418593049049377}]"
"[{'label': 'positive', 'score': 0.9728965759277344}]"
"[{'label': 'neutral', 'score': 0.9985249638557434}]"
"[{'label': 'neutral', 'score': 0.9640465974807739}]"
"[{'label': 'neutral', 'score': 0.9986358284950256}]"
"[{'label': 'positive', 'score': 0.999180018901825}]"
"[{'label': 'neutral', 'score': 0.9996200799942017}]"
"[{'label': 'negative', 'score': 0.8674685955047607}]"
"[{'label': 'neutral', 'score': 0.997227132320404}]"
"[{'label': 'positive', 'score': 0.866680383682251}]"
"[{'label': 'positive', 'score': 0.9988170862197876}]"
"[{'label': 'positive', 'score': 0.8872060775756836}]"
"[{'label': 'neutral', 'score': 0.9911090135574341}]"
"[{'label': 'neutral', 'score': 0.9432591199874878}]"
"[{'label': 'neutral', 'score': 0.9998387098312378}]"
"[{'label': 'positive', 'score': 0.9915801882743835}]"
"[{'label': 'neutral', 'score': 0.9997547268867493}]"
"[{'label': 'positive', 'score': 0.8479338884353638}]"
"[{'label': 'neutral', 'score': 0.9996790885925293}]"
"[{'label': 'neutral', 'score': 0.9995701909065247}]"
"[{'label': 'neutral', 'score': 0.999687910079956}]"
"[{'label': 'positive', 'score': 0.7944251894950867}]"
"[{'label': 'neutral', 'score': 0.6136245131492615}]"
"[{'label': 'neutral', 'score': 0.9949929118156433}]"
"[{'label': 'neutral', 'score': 0.9726250767707825}]"
"[{'label': 'neutral', 'score': 0.9750915169715881}]"
"[{'label': 'positive', 'score': 0.996286153793335}]"
"[{'label': 'neutral', 'score': 0.9993556141853333}]"
"[{'label': 'positive', 'score': 0.9988976716995239}]"
"[{'label': 'positive', 'score': 0.6432356238365173}]"
"[{'label': 'positive', 'score': 0.7379202246665955}]"
"[{'label': 'negative', 'score': 0.8445354700088501}]"
"[{'label': 'negative', 'score': 0.971588671207428}]"
"[{'label': 'neutral', 'score': 0.9725020527839661}]"
"[{'label': 'neutral', 'score': 0.9998713731765747}]"
"[{'label': 'neutral', 'score': 0.9998283386230469}]"
"[{'label': 'positive', 'score': 0.9871525168418884}]"
"[{'label': 'neutral', 'score': 0.9996716976165771}]"
"[{'label': 'negative', 'score': 0.8795160055160522}]"
"[{'label': 'neutral', 'score': 0.9998157620429993}]"
"[{'label': 'neutral', 'score': 0.9998272061347961}]"
"[{'label': 'neutral', 'score': 0.5667417049407959}]"
"[{'label': 'neutral', 'score': 0.9993451237678528}]"
"[{'label': 'positive', 'score': 0.9991866946220398}]"
"[{'label': 'neutral', 'score': 0.9909660816192627}]"
"[{'label': 'negative', 'score': 0.9561653733253479}]"
